date,atm_id,area,weather,major_event,twenty_dollar_bills_withdrawn,fifty_dollar_bills_withdrawn,hundred_dollar_bills_withdrawn
2023-01-01,LM-ATM-001,Battery Park,snow,None,33,26,15
2023-01-01,LM-ATM-002,Wall Street,snow,None,59,27,9
2023-01-01,LM-ATM-003,Broad Street,snow,None,46,21,8
2023-01-01,LM-ATM-004,Fulton Center,snow,None,52,28,15
2023-01-01,LM-ATM-005,South Street Seaport,snow,None,29,26,15
2023-01-01,LM-ATM-006,Tribeca,snow,None,42,18,11
2023-01-01,LM-ATM-007,City Hall,snow,None,33,19,10
2023-01-01,LM-ATM-008,Chinatown,snow,None,41,29,15
2023-01-01,LM-ATM-009,Little Italy,snow,None,31,29,17
2023-01-01,LM-ATM-010,SoHo Broadway,snow,None,36,35,23
2023-01-01,LM-ATM-011,NoLiTa,snow,None,31,22,13
2023-01-01,LM-ATM-012,Canal Street,snow,None,51,37,19
2023-01-01,LM-ATM-013,World Trade Center,snow,None,40,22,12
2023-01-01,LM-ATM-014,Brookfield Place,snow,None,48,24,11
2023-01-01,LM-ATM-015,Bowling Green,snow,None,50,29,15
2023-01-01,LM-ATM-016,Staten Ferry Terminal,snow,None,26,22,13
2023-01-01,LM-ATM-017,Essex Market,snow,None,35,22,12
2023-01-01,LM-ATM-018,Houston Street,snow,None,30,22,12
2023-01-01,LM-ATM-019,Delancey Street,snow,None,32,22,12
2023-01-01,LM-ATM-020,Pier 17,snow,None,27,24,17
2023-01-02,LM-ATM-001,Battery Park,clear,None,56,27,17
2023-01-02,LM-ATM-002,Wall Street,clear,None,83,22,10
2023-01-02,LM-ATM-003,Broad Street,clear,None,96,29,12
2023-01-02,LM-ATM-004,Fulton Center,clear,None,98,37,25
2023-01-02,LM-ATM-005,South Street Seaport,clear,None,59,43,25
2023-01-02,LM-ATM-006,Tribeca,clear,None,81,25,13
2023-01-02,LM-ATM-007,City Hall,clear,None,70,28,13
2023-01-02,LM-ATM-008,Chinatown,clear,None,61,31,18
2023-01-02,LM-ATM-009,Little Italy,clear,None,44,24,16
2023-01-02,LM-ATM-010,SoHo Broadway,clear,None,59,43,25
2023-01-02,LM-ATM-011,NoLiTa,clear,None,47,30,17
2023-01-02,LM-ATM-012,Canal Street,clear,None,70,35,22
2023-01-02,LM-ATM-013,World Trade Center,clear,None,126,42,20
2023-01-02,LM-ATM-014,Brookfield Place,clear,None,82,29,17
2023-01-02,LM-ATM-015,Bowling Green,clear,None,72,32,17
2023-01-02,LM-ATM-016,Staten Ferry Terminal,clear,None,71,42,27
2023-01-02,LM-ATM-017,Essex Market,clear,None,65,37,21
2023-01-02,LM-ATM-018,Houston Street,clear,None,58,31,20
2023-01-02,LM-ATM-019,Delancey Street,clear,None,63,37,21
2023-01-02,LM-ATM-020,Pier 17,clear,None,60,48,27
2023-01-03,LM-ATM-001,Battery Park,cloudy,None,38,26,15
2023-01-03,LM-ATM-002,Wall Street,cloudy,None,87,24,12
2023-01-03,LM-ATM-003,Broad Street,cloudy,None,74,17,9
2023-01-03,LM-ATM-004,Fulton Center,cloudy,None,79,35,21
