date,atm_id,area,latitude,longitude,weather,major_event,twenty_dollar_bills_withdrawn,fifty_dollar_bills_withdrawn,hundred_dollar_bills_withdrawn
2024-01-01,LM-ATM-001,Battery Park,40.7033,-74.017,snow,New Year Day,24,14,10
2024-01-01,LM-ATM-002,Wall Street,40.7074,-74.0113,snow,New Year Day,56,19,8
2024-01-01,LM-ATM-003,Broad Street,40.7069,-74.0113,snow,New Year Day,44,13,7
2024-01-01,LM-ATM-004,Fulton Center,40.7103,-74.0076,snow,New Year Day,46,18,13
2024-01-01,LM-ATM-005,South Street Seaport,40.7069,-74.003,snow,New Year Day,23,17,10
2024-01-01,LM-ATM-006,Tribeca,40.7163,-74.0086,snow,New Year Day,30,13,8
2024-01-01,LM-ATM-007,City Hall,40.7128,-74.0059,snow,New Year Day,34,13,9
2024-01-01,LM-ATM-008,Chinatown,40.7158,-73.9973,snow,New Year Day,25,14,8
2024-01-01,LM-ATM-009,Little Italy,40.7191,-73.9973,snow,New Year Day,19,14,9
2024-01-01,LM-ATM-010,SoHo Broadway,40.7233,-74.002,snow,New Year Day,19,14,10
2024-01-01,LM-ATM-011,NoLiTa,40.7228,-73.9973,snow,New Year Day,25,19,11
2024-01-01,LM-ATM-012,Canal Street,40.719,-74.002,snow,New Year Day,27,16,8
2024-01-01,LM-ATM-013,World Trade Center,40.7116,-74.013,snow,New Year Day,52,21,11
2024-01-01,LM-ATM-014,Brookfield Place,40.7127,-74.0155,snow,New Year Day,38,14,8
2024-01-01,LM-ATM-015,Bowling Green,40.7047,-74.0141,snow,New Year Day,40,21,12
2024-01-01,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,snow,New Year Day,28,19,12
2024-01-01,LM-ATM-017,Essex Market,40.7193,-73.9874,snow,New Year Day,22,15,7
2024-01-01,LM-ATM-018,Houston Street,40.7282,-74.005,snow,New Year Day,24,16,10
2024-01-01,LM-ATM-019,Delancey Street,40.7188,-73.9885,snow,New Year Day,28,16,9
2024-01-01,LM-ATM-020,Pier 17,40.7058,-74.0027,snow,New Year Day,20,16,11
2024-01-02,LM-ATM-001,Battery Park,40.7033,-74.017,clear,None,58,36,22
2024-01-02,LM-ATM-002,Wall Street,40.7074,-74.0113,clear,None,94,21,9
2024-01-02,LM-ATM-003,Broad Street,40.7069,-74.0113,clear,None,71,19,11
2024-01-02,LM-ATM-004,Fulton Center,40.7103,-74.0076,clear,None,73,39,16
2024-01-02,LM-ATM-005,South Street Seaport,40.7069,-74.003,clear,None,42,30,16
2024-01-02,LM-ATM-006,Tribeca,40.7163,-74.0086,clear,None,51,20,10
2024-01-02,LM-ATM-007,City Hall,40.7128,-74.0059,clear,None,68,25,15
2024-01-02,LM-ATM-008,Chinatown,40.7158,-73.9973,clear,None,49,25,13
2024-01-02,LM-ATM-009,Little Italy,40.7191,-73.9973,clear,None,59,34,20
2024-01-02,LM-ATM-010,SoHo Broadway,40.7233,-74.002,clear,None,59,41,29
2024-01-02,LM-ATM-011,NoLiTa,40.7228,-73.9973,clear,None,42,29,16
2024-01-02,LM-ATM-012,Canal Street,40.719,-74.002,clear,None,52,29,18
2024-01-02,LM-ATM-013,World Trade Center,40.7116,-74.013,clear,None,89,31,17
2024-01-02,LM-ATM-014,Brookfield Place,40.7127,-74.0155,clear,None,88,30,18
2024-01-02,LM-ATM-015,Bowling Green,40.7047,-74.0141,clear,None,71,26,19
2024-01-02,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,clear,None,47,33,19
2024-01-02,LM-ATM-017,Essex Market,40.7193,-73.9874,clear,None,63,32,17
2024-01-02,LM-ATM-018,Houston Street,40.7282,-74.005,clear,None,47,26,16
2024-01-02,LM-ATM-019,Delancey Street,40.7188,-73.9885,clear,None,55,31,16
2024-01-02,LM-ATM-020,Pier 17,40.7058,-74.0027,clear,None,43,31,21
2024-01-03,LM-ATM-001,Battery Park,40.7033,-74.017,clear,None,52,30,19
2024-01-03,LM-ATM-002,Wall Street,40.7074,-74.0113,clear,None,115,27,17
2024-01-03,LM-ATM-003,Broad Street,40.7069,-74.0113,clear,None,89,25,10
2024-01-03,LM-ATM-004,Fulton Center,40.7103,-74.0076,clear,None,82,39,21
2024-01-03,LM-ATM-005,South Street Seaport,40.7069,-74.003,clear,None,67,41,27
2024-01-03,LM-ATM-006,Tribeca,40.7163,-74.0086,clear,None,67,27,12
2024-01-03,LM-ATM-007,City Hall,40.7128,-74.0059,clear,None,57,18,10
2024-01-03,LM-ATM-008,Chinatown,40.7158,-73.9973,clear,None,67,33,17
2024-01-03,LM-ATM-009,Little Italy,40.7191,-73.9973,clear,None,47,31,15
2024-01-03,LM-ATM-010,SoHo Broadway,40.7233,-74.002,clear,None,81,48,34
2024-01-03,LM-ATM-011,NoLiTa,40.7228,-73.9973,clear,None,56,35,20
2024-01-03,LM-ATM-012,Canal Street,40.719,-74.002,clear,None,61,32,19
2024-01-03,LM-ATM-013,World Trade Center,40.7116,-74.013,clear,None,107,37,20
2024-01-03,LM-ATM-014,Brookfield Place,40.7127,-74.0155,clear,None,104,36,21
2024-01-03,LM-ATM-015,Bowling Green,40.7047,-74.0141,clear,None,65,27,19
2024-01-03,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,clear,None,54,39,23
2024-01-03,LM-ATM-017,Essex Market,40.7193,-73.9874,clear,None,61,31,15
2024-01-03,LM-ATM-018,Houston Street,40.7282,-74.005,clear,None,61,34,21
2024-01-03,LM-ATM-019,Delancey Street,40.7188,-73.9885,clear,None,61,33,19
2024-01-03,LM-ATM-020,Pier 17,40.7058,-74.0027,clear,None,63,44,30
2024-01-04,LM-ATM-001,Battery Park,40.7033,-74.017,clear,None,54,34,19
2024-01-04,LM-ATM-002,Wall Street,40.7074,-74.0113,clear,None,83,21,10
2024-01-04,LM-ATM-003,Broad Street,40.7069,-74.0113,clear,None,102,21,15
2024-01-04,LM-ATM-004,Fulton Center,40.7103,-74.0076,clear,None,94,36,21
2024-01-04,LM-ATM-005,South Street Seaport,40.7069,-74.003,clear,None,56,37,24
2024-01-04,LM-ATM-006,Tribeca,40.7163,-74.0086,clear,None,59,21,11
2024-01-04,LM-ATM-007,City Hall,40.7128,-74.0059,clear,None,61,27,14
2024-01-04,LM-ATM-008,Chinatown,40.7158,-73.9973,clear,None,56,32,15
2024-01-04,LM-ATM-009,Little Italy,40.7191,-73.9973,clear,None,58,36,20
2024-01-04,LM-ATM-010,SoHo Broadway,40.7233,-74.002,clear,None,57,39,27
2024-01-04,LM-ATM-011,NoLiTa,40.7228,-73.9973,clear,None,46,26,15
2024-01-04,LM-ATM-012,Canal Street,40.719,-74.002,clear,None,74,36,22
2024-01-04,LM-ATM-013,World Trade Center,40.7116,-74.013,clear,None,107,28,19
2024-01-04,LM-ATM-014,Brookfield Place,40.7127,-74.0155,clear,None,93,29,20
2024-01-04,LM-ATM-015,Bowling Green,40.7047,-74.0141,clear,None,71,31,17
2024-01-04,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,clear,None,64,45,28
2024-01-04,LM-ATM-017,Essex Market,40.7193,-73.9874,clear,None,48,26,13
2024-01-04,LM-ATM-018,Houston Street,40.7282,-74.005,clear,None,51,31,19
2024-01-04,LM-ATM-019,Delancey Street,40.7188,-73.9885,clear,None,65,38,19
2024-01-04,LM-ATM-020,Pier 17,40.7058,-74.0027,clear,None,51,35,25
2024-01-05,LM-ATM-001,Battery Park,40.7033,-74.017,clear,None,68,44,24
2024-01-05,LM-ATM-002,Wall Street,40.7074,-74.0113,clear,None,93,22,12
2024-01-05,LM-ATM-003,Broad Street,40.7069,-74.0113,clear,None,100,24,11
2024-01-05,LM-ATM-004,Fulton Center,40.7103,-74.0076,clear,None,99,39,27
2024-01-05,LM-ATM-005,South Street Seaport,40.7069,-74.003,clear,None,52,31,21
2024-01-05,LM-ATM-006,Tribeca,40.7163,-74.0086,clear,None,66,22,12
2024-01-05,LM-ATM-007,City Hall,40.7128,-74.0059,clear,None,66,25,14
2024-01-05,LM-ATM-008,Chinatown,40.7158,-73.9973,clear,None,71,29,19
2024-01-05,LM-ATM-009,Little Italy,40.7191,-73.9973,clear,None,46,26,19
2024-01-05,LM-ATM-010,SoHo Broadway,40.7233,-74.002,clear,None,52,39,25
2024-01-05,LM-ATM-011,NoLiTa,40.7228,-73.9973,clear,None,59,33,19
2024-01-05,LM-ATM-012,Canal Street,40.719,-74.002,clear,None,63,37,21
2024-01-05,LM-ATM-013,World Trade Center,40.7116,-74.013,clear,None,102,37,23
2024-01-05,LM-ATM-014,Brookfield Place,40.7127,-74.0155,clear,None,93,31,19
2024-01-05,LM-ATM-015,Bowling Green,40.7047,-74.0141,clear,None,87,36,20
2024-01-05,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,clear,None,67,42,27
2024-01-05,LM-ATM-017,Essex Market,40.7193,-73.9874,clear,None,58,29,14
2024-01-05,LM-ATM-018,Houston Street,40.7282,-74.005,clear,None,66,35,23
2024-01-05,LM-ATM-019,Delancey Street,40.7188,-73.9885,clear,None,76,40,25
2024-01-05,LM-ATM-020,Pier 17,40.7058,-74.0027,clear,None,47,40,22
2024-01-06,LM-ATM-001,Battery Park,40.7033,-74.017,rain,None,39,32,17
2024-01-06,LM-ATM-002,Wall Street,40.7074,-74.0113,rain,None,70,20,9
2024-01-06,LM-ATM-003,Broad Street,40.7069,-74.0113,rain,None,58,20,9
2024-01-06,LM-ATM-004,Fulton Center,40.7103,-74.0076,rain,None,68,33,17
2024-01-06,LM-ATM-005,South Street Seaport,40.7069,-74.003,rain,None,60,44,29
2024-01-06,LM-ATM-006,Tribeca,40.7163,-74.0086,rain,None,65,37,14
2024-01-06,LM-ATM-007,City Hall,40.7128,-74.0059,rain,None,59,31,14
2024-01-06,LM-ATM-008,Chinatown,40.7158,-73.9973,rain,None,58,36,19
2024-01-06,LM-ATM-009,Little Italy,40.7191,-73.9973,rain,None,46,31,20
2024-01-06,LM-ATM-010,SoHo Broadway,40.7233,-74.002,rain,None,60,53,31
2024-01-06,LM-ATM-011,NoLiTa,40.7228,-73.9973,rain,None,51,36,20
2024-01-06,LM-ATM-012,Canal Street,40.719,-74.002,rain,None,67,41,24
2024-01-06,LM-ATM-013,World Trade Center,40.7116,-74.013,rain,None,64,28,15
2024-01-06,LM-ATM-014,Brookfield Place,40.7127,-74.0155,rain,None,68,29,15
2024-01-06,LM-ATM-015,Bowling Green,40.7047,-74.0141,rain,None,60,27,16
2024-01-06,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,rain,None,49,38,21
2024-01-06,LM-ATM-017,Essex Market,40.7193,-73.9874,rain,None,38,22,11
2024-01-06,LM-ATM-018,Houston Street,40.7282,-74.005,rain,None,45,29,19
2024-01-06,LM-ATM-019,Delancey Street,40.7188,-73.9885,rain,None,41,27,16
2024-01-06,LM-ATM-020,Pier 17,40.7058,-74.0027,rain,None,34,29,18
2024-01-07,LM-ATM-001,Battery Park,40.7033,-74.017,cloudy,None,52,35,22
2024-01-07,LM-ATM-002,Wall Street,40.7074,-74.0113,cloudy,None,81,28,12
2024-01-07,LM-ATM-003,Broad Street,40.7069,-74.0113,cloudy,None,68,24,9
2024-01-07,LM-ATM-004,Fulton Center,40.7103,-74.0076,cloudy,None,75,31,21
2024-01-07,LM-ATM-005,South Street Seaport,40.7069,-74.003,cloudy,None,49,44,27
2024-01-07,LM-ATM-006,Tribeca,40.7163,-74.0086,cloudy,None,68,31,15
2024-01-07,LM-ATM-007,City Hall,40.7128,-74.0059,cloudy,None,51,25,13
2024-01-07,LM-ATM-008,Chinatown,40.7158,-73.9973,cloudy,None,63,29,21
2024-01-07,LM-ATM-009,Little Italy,40.7191,-73.9973,cloudy,None,59,41,24
2024-01-07,LM-ATM-010,SoHo Broadway,40.7233,-74.002,cloudy,None,68,56,35
2024-01-07,LM-ATM-011,NoLiTa,40.7228,-73.9973,cloudy,None,41,31,19
2024-01-07,LM-ATM-012,Canal Street,40.719,-74.002,cloudy,None,65,42,23
2024-01-07,LM-ATM-013,World Trade Center,40.7116,-74.013,cloudy,None,74,34,16
2024-01-07,LM-ATM-014,Brookfield Place,40.7127,-74.0155,cloudy,None,87,36,19
2024-01-07,LM-ATM-015,Bowling Green,40.7047,-74.0141,cloudy,None,60,36,17
2024-01-07,LM-ATM-016,Staten Ferry Terminal,40.7013,-74.0132,cloudy,None,70,60,34
2024-01-07,LM-ATM-017,Essex Market,40.7193,-73.9874,cloudy,None,52,33,19
2024-01-07,LM-ATM-018,Houston Street,40.7282,-74.005,cloudy,None,51,38,18
2024-01-07,LM-ATM-019,Delancey Street,40.7188,-73.9885,cloudy,None,60,36,19
2024-01-07,LM-ATM-020,Pier 17,40.7058,-74.0027,cloudy,None,43,32,22
2024-01-08,LM-ATM-001,Battery Park,40.7033,-74.017,cloudy,None,54,36,20
2024-01-08,LM-ATM-002,Wall Street,40.7074,-74.0113,cloudy,None,101,23,12
2024-01-08,LM-ATM-003,Broad Street,40.7069,-74.0113,cloudy,None,75,27,10
2024-01-08,LM-ATM-004,Fulton Center,40.7103,-74.0076,cloudy,None,77,33,18
2024-01-08,LM-ATM-005,South Street Seaport,40.7069,-74.003,cloudy,None,59,42,24
